"Identifier","StartDate"
"2143477294","01-01-1997"
"2143961504","10-12-2004"
"2144272991","28-12-2004"
"2144669802","11-10-2004"
"2144670295","11-10-2004"
"2144693061","19-01-2005"
"2144697120","20-01-2005"
"2144701078","20-01-2005"
"2144703652","20-01-2005"
"2144703850","20-01-2005"
"2144725230","21-01-2005"
"2144726121","21-01-2005"
"2144727309","21-01-2005"
"2144727606","21-01-2005"
"2144736910","21-01-2005"
"2144739482","21-01-2005"
"2144742155","21-01-2005"
"2144744333","21-01-2005"
"2144749380","21-01-2005"
"2144749578","21-01-2005"
"2144750172","21-01-2005"
"2144751162","21-01-2005"
"2146607327","01-07-2003"
"2146607525","01-07-2003"
"2147498935","01-07-2003"
"2147499430","01-07-2003"
"2147548722","23-06-2005"
"2147548920","23-06-2005"
"2147549118","16-10-1986"
"2147549316","23-06-2005"
"2147615137","01-07-2003"
"2147615236","01-07-2003"
"2147615830","01-07-2003"
"2147617018","01-07-2003"
"2147617909","01-07-2003"
"2147636913","01-01-2005"
"2147934148","01-04-2005"
"2147934346","01-04-2005"
"2148022636","01-07-1977"
"2148227128","01-07-2003"
"2148365007","24-02-2005"
"2148373717","24-02-2005"
"2148973236","01-07-2005"
"2148973434","01-07-2005"
"2149244935","06-10-2005"
"2150461096","15-12-2005"
"2150627283","09-06-1956"
"2151191071","19-01-2006"
"2151863440","23-02-2006"
"2151923719","24-02-2006"
"2151923917","24-02-2006"
"2152075652","07-03-2006"
"2152409313","21-12-1995"
"2152410006","20-11-1971"
"2152469293","23-04-1981"
"2152470877","10-03-2006"
"2152471273","10-03-2006"
"2152471372","23-04-1981"
"2152477114","10-03-2006"
"2152477906","10-03-2006"
"2152478302","10-03-2006"
"2152478993","18-01-2003"
"2152479488","18-01-2003"
"2152485230","06-06-1983"
"2152487705","01-04-1989"
"2152492455","06-03-1975"
"2152507303","13-03-2006"
"2152510172","13-03-2006"
"2152510568","01-01-1987"
"2152510865","13-03-2006"
"2152511162","13-03-2006"
"2152511756","13-03-2006"
"2152512548","29-03-1994"
"2152512845","29-03-1994"
"2152513043","13-03-2006"
"2152513340","13-03-2006"
"2152513538","13-03-2006"
"2152514825","22-04-1997"
"2152515221","22-04-1997"
"2152516112","14-03-2006"
"2152516409","14-03-2006"
"2152517793","25-03-1936"
"2152517991","25-03-1936"
"2152518090","25-03-1936"
"2152522248","03-01-1956"
"2152522545","03-01-1956"
"2152531552","13-03-2006"
"2152531651","13-03-2006"
"2152542143","28-03-2006"
"2152546202","27-03-2006"
"2152546794","27-03-2006"
"2152546992","27-03-2006"
"2152552041","28-03-2006"
"2152569758","03-03-1971"
"2152573817","02-05-1987"
"2152575104","02-05-1987"
"2152576488","02-05-1987"
"2152583616","15-10-1923"
"2152583814","15-10-1923"
"2152614201","07-01-1956"
"2152620238","21-01-1985"
"2152620337","21-01-1985"
"2152620436","21-01-1985"
"2152707835","01-10-1970"
"2152713179","05-04-2006"
"2152713278","04-05-2006"
"2152798105","07-04-2006"
"2152833242","11-04-2006"
"2152833440","11-04-2006"
"2152934992","14-04-2006"
"2152959540","18-04-2006"
"2152959639","18-04-2006"
"2152959837","18-04-2006"
"2153082076","24-04-2006"
"2153112166","25-04-2006"
"2153112463","25-04-2006"
"2153149976","27-04-2006"
"2153153936","28-02-1989"
"2153154134","28-02-1989"
"2153175415","19-06-1973"
"2153176009","17-12-1987"
"2153176108","17-12-1987"
"2153185412","06-09-1985"
"2153262616","01-09-1985"
"2153263804","15-12-1995"
"2153264297","28-06-1978"
"2153315371","01-04-1989"
"2153346352","01-04-1989"
"2153346649","01-04-1989"
"2153355557","10-06-1976"
"2153362188","01-01-1982"
"2153380204","06-06-1969"
"2153385449","17-05-1940"
"2153385647","22-11-1984"
"2153385746","01-07-1974"
"2153387825","12-08-1965"
"2153499869","28-02-1980"
"2153514519","13-06-1966"
"2153597562","21-01-1985"
"2153597958","21-01-1985"
"2153754346","17-06-1963"
"2153755237","17-06-1963"
"2153755930","17-06-1963"
"2153813239","03-11-1963"
"2153840458","02-06-2006"
"2153926471","04-02-1999"
"2154242514","31-03-1941"
